Phi1	Phi	Phi2	X	Y
4.13269	1.03491	4.79752	112	12
4.29496	2.60421	0.13663	114	12
4.1311	1.03516	4.80034	116	12
4.1325	1.03888	4.80044	118	12
4.15203	0.96577	5.2048	120	12
4.1391	0.96768	2.05764	122	12
4.137	0.96407	2.05526	124	12
4.14045	0.94997	2.05361	126	12
4.13821	0.94675	2.0538	128	12
4.13886	0.94703	2.05447	130	12
1.4054	2.29962	3.40371	132	12
1.42132	2.30422	3.4245	134	12
1.45738	2.29459	3.45186	136	12
1.42425	2.29969	1.85404	138	12
4.52446	0.83459	1.32525	140	12
0.27176	2.0592	4.34025	142	12
0.27842	2.05798	4.33597	144	12
0.28337	2.0721	4.33958	146	12
0.27988	2.06328	4.33338	148	12
1.90667	2.01647	3.5963	150	12
1.92277	2.0264	3.60069	152	12
1.08049	0.63471	0.73407	154	12
1.07762	0.63389	0.73431	156	12
0.28975	2.06586	4.33755	158	12
0.52489	2.58888	4.69366	160	12
0.52489	2.58888	4.69366	162	12
0.52636	2.59072	4.69225	164	12
0.51819	2.58387	4.69251	166	12
0.51965	2.581	4.69281	168	12
0.5175	2.58098	4.69018	170	12
0.5162	2.58301	4.69322	172	12
0.51624	2.58114	4.68924	174	12
0.51634	2.58116	4.69064	176	12
0.51542	2.58252	4.69197	178	12
0.51795	2.58182	4.68812	180	12
0.51653	2.58128	4.69075	182	12
0.5148	2.58419	4.69064	184	12
0.51379	2.57969	4.68991	186	12
0.51547	2.58467	4.69229	188	12
0.51614	2.58542	4.69145	190	12
0.51682	2.58366	4.69321	192	12
2.67493	2.10647	5.86855	0	14
4.03217	1.44682	3.16514	2	14
0.89395	1.68396	1.54243	4	14
0.89675	1.68922	1.55109	6	14
0.89454	1.68984	1.54595	8	14
0.89055	1.694	1.542	10	14
0.89175	1.69536	1.5338	12	14
0.8888	1.69305	1.54675	14	14
5.61335	1.55029	3.00709	16	14
0.51543	0.80056	1.27846	18	14
0.49987	0.80137	1.28023	20	14
0.49887	0.80661	1.28645	22	14
0.50389	0.8038	1.27993	24	14
0.50926	0.81235	1.28397	26	14
0.50133	0.81657	1.28993	28	14
0.50482	0.81227	1.28558	30	14
0.4978	0.81409	1.28753	32	14
0.50133	0.82417	1.27833	34	14
4.94389	2.59391	2.47221	36	14
5.68611	1.14473	1.21125	38	14
5.69655	1.14877	1.20801	40	14
5.70073	1.15392	1.21565	42	14
5.97528	1.91341	3.92845	44	14
1.60062	2.29076	2.04413	46	14
1.60816	2.28885	2.04333	48	14
1.60355	2.28702	2.04223	50	14
1.59874	2.28589	2.04598	52	14
1.60941	2.2878	2.04209	54	14
1.60273	2.28715	2.04371	56	14
1.60521	2.28668	2.04425	58	14
1.61185	2.28727	2.04345	60	14
1.61325	2.28506	2.04382	62	14
1.60747	2.28588	2.03849	64	14
1.60918	2.2871	2.04404	66	14
1.60916	2.28359	2.04246	68	14
1.60166	2.28894	2.03257	70	14
1.59634	2.29115	2.0353	72	14
1.59799	2.29237	2.03234	74	14
1.59875	2.29161	2.03547	76	14
1.60658	2.2884	2.04375	78	14
1.59505	2.29396	2.03325	80	14
0.28998	1.45906	1.7315	82	14
0.2839	1.45207	1.73185	84	14
0.2966	1.46584	1.73683	86	14
5.02591	1.72308	4.83484	88	14
3.06917	1.47035	5.70451	90	14
4.77703	0.59217	1.39179	92	14
4.7977	0.59364	1.37495	94	14
2.92522	1.28804	2.84313	96	14
2.92522	1.29233	2.84044	98	14
2.92825	1.28533	2.83548	100	14
2.92885	1.28976	2.84083	102	14
